** FASE 1: Generazione dei 5-subset a distanza casuale (4)
** Base set: 0000000000000000011111 {a, b, c, d, e}
   1 [4]: (0001F0) 0000000000000111110000 {e, f, g, h, i}
   2 [4]: (0002F0) 0000000000001011110000 {e, f, g, h, j}
   3 [4]: (000370) 0000000000001101110000 {e, f, g, i, j}
   4 [4]: (0003B0) 0000000000001110110000 {e, f, h, i, j}
   5 [4]: (0003D0) 0000000000001111010000 {e, g, h, i, j}
   6 [4]: (0004F0) 0000000000010011110000 {e, f, g, h, k}
   7 [4]: (000570) 0000000000010101110000 {e, f, g, i, k}
   8 [4]: (0005B0) 0000000000010110110000 {e, f, h, i, k}
   9 [4]: (0005D0) 0000000000010111010000 {e, g, h, i, k}
  10 [4]: (000670) 0000000000011001110000 {e, f, g, j, k}
  11 [4]: (0006B0) 0000000000011010110000 {e, f, h, j, k}
  12 [4]: (0006D0) 0000000000011011010000 {e, g, h, j, k}
  13 [4]: (000730) 0000000000011100110000 {e, f, i, j, k}
  14 [4]: (000750) 0000000000011101010000 {e, g, i, j, k}
  15 [4]: (000790) 0000000000011110010000 {e, h, i, j, k}
  16 [4]: (0008F0) 0000000000100011110000 {e, f, g, h, l}
  17 [4]: (000970) 0000000000100101110000 {e, f, g, i, l}
  18 [4]: (0009B0) 0000000000100110110000 {e, f, h, i, l}
  19 [4]: (0009D0) 0000000000100111010000 {e, g, h, i, l}
  20 [4]: (000A70) 0000000000101001110000 {e, f, g, j, l}
  21 [4]: (000AB0) 0000000000101010110000 {e, f, h, j, l}
  22 [4]: (000AD0) 0000000000101011010000 {e, g, h, j, l}
  23 [4]: (000B30) 0000000000101100110000 {e, f, i, j, l}
  24 [4]: (000B50) 0000000000101101010000 {e, g, i, j, l}
  25 [4]: (000B90) 0000000000101110010000 {e, h, i, j, l}
  26 [4]: (000C70) 0000000000110001110000 {e, f, g, k, l}
  27 [4]: (000CB0) 0000000000110010110000 {e, f, h, k, l}
  28 [4]: (000CD0) 0000000000110011010000 {e, g, h, k, l}
  29 [4]: (000D30) 0000000000110100110000 {e, f, i, k, l}
  30 [4]: (000D50) 0000000000110101010000 {e, g, i, k, l}
  31 [4]: (000D90) 0000000000110110010000 {e, h, i, k, l}
  32 [4]: (000E30) 0000000000111000110000 {e, f, j, k, l}
  33 [4]: (000E50) 0000000000111001010000 {e, g, j, k, l}
  34 [4]: (000E90) 0000000000111010010000 {e, h, j, k, l}
  35 [4]: (000F10) 0000000000111100010000 {e, i, j, k, l}
  36 [4]: (0010F0) 0000000001000011110000 {e, f, g, h, m}
  37 [4]: (001170) 0000000001000101110000 {e, f, g, i, m}
  38 [4]: (0011B0) 0000000001000110110000 {e, f, h, i, m}
  39 [4]: (0011D0) 0000000001000111010000 {e, g, h, i, m}
  40 [4]: (001270) 0000000001001001110000 {e, f, g, j, m}
  41 [4]: (0012B0) 0000000001001010110000 {e, f, h, j, m}
  42 [4]: (0012D0) 0000000001001011010000 {e, g, h, j, m}
  43 [4]: (001330) 0000000001001100110000 {e, f, i, j, m}
  44 [4]: (001350) 0000000001001101010000 {e, g, i, j, m}
  45 [4]: (001390) 0000000001001110010000 {e, h, i, j, m}
  46 [4]: (001470) 0000000001010001110000 {e, f, g, k, m}
  47 [4]: (0014B0) 0000000001010010110000 {e, f, h, k, m}
  48 [4]: (0014D0) 0000000001010011010000 {e, g, h, k, m}
  49 [4]: (001530) 0000000001010100110000 {e, f, i, k, m}
  50 [4]: (001550) 0000000001010101010000 {e, g, i, k, m}
  51 [4]: (001590) 0000000001010110010000 {e, h, i, k, m}
  52 [4]: (001630) 0000000001011000110000 {e, f, j, k, m}
  53 [4]: (001650) 0000000001011001010000 {e, g, j, k, m}
  54 [4]: (001690) 0000000001011010010000 {e, h, j, k, m}
  55 [4]: (001710) 0000000001011100010000 {e, i, j, k, m}
  56 [4]: (001870) 0000000001100001110000 {e, f, g, l, m}
  57 [4]: (0018B0) 0000000001100010110000 {e, f, h, l, m}
  58 [4]: (0018D0) 0000000001100011010000 {e, g, h, l, m}
  59 [4]: (001930) 0000000001100100110000 {e, f, i, l, m}
  60 [4]: (001950) 0000000001100101010000 {e, g, i, l, m}
  61 [4]: (001990) 0000000001100110010000 {e, h, i, l, m}
  62 [4]: (001A30) 0000000001101000110000 {e, f, j, l, m}
  63 [4]: (001A50) 0000000001101001010000 {e, g, j, l, m}
  64 [4]: (001A90) 0000000001101010010000 {e, h, j, l, m}
  65 [4]: (001B10) 0000000001101100010000 {e, i, j, l, m}
  66 [4]: (001C30) 0000000001110000110000 {e, f, k, l, m}
  67 [4]: (001C50) 0000000001110001010000 {e, g, k, l, m}
  68 [4]: (001C90) 0000000001110010010000 {e, h, k, l, m}
  69 [4]: (001D10) 0000000001110100010000 {e, i, k, l, m}
  70 [4]: (001E10) 0000000001111000010000 {e, j, k, l, m}
  71 [4]: (0020F0) 0000000010000011110000 {e, f, g, h, n}
  72 [4]: (002170) 0000000010000101110000 {e, f, g, i, n}
  73 [4]: (0021B0) 0000000010000110110000 {e, f, h, i, n}
  74 [4]: (0021D0) 0000000010000111010000 {e, g, h, i, n}
  75 [4]: (002270) 0000000010001001110000 {e, f, g, j, n}
  76 [4]: (0022B0) 0000000010001010110000 {e, f, h, j, n}
  77 [4]: (0022D0) 0000000010001011010000 {e, g, h, j, n}
  78 [4]: (002330) 0000000010001100110000 {e, f, i, j, n}
  79 [4]: (002350) 0000000010001101010000 {e, g, i, j, n}
  80 [4]: (002390) 0000000010001110010000 {e, h, i, j, n}
  81 [4]: (002470) 0000000010010001110000 {e, f, g, k, n}
  82 [4]: (0024B0) 0000000010010010110000 {e, f, h, k, n}
  83 [4]: (0024D0) 0000000010010011010000 {e, g, h, k, n}
  84 [4]: (002530) 0000000010010100110000 {e, f, i, k, n}
