** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 000000000111 {a, b, c}
   1 [2]: (00001C) 000000011100 {c, d, e}
   2 [2]: (00002C) 000000101100 {c, d, f}
   3 [2]: (000034) 000000110100 {c, e, f}
   4 [2]: (00004C) 000001001100 {c, d, g}
   5 [2]: (000054) 000001010100 {c, e, g}
   6 [2]: (000064) 000001100100 {c, f, g}
   7 [2]: (00008C) 000010001100 {c, d, h}
   8 [2]: (000094) 000010010100 {c, e, h}
   9 [2]: (0000A4) 000010100100 {c, f, h}
  10 [2]: (0000C4) 000011000100 {c, g, h}
  11 [2]: (00010C) 000100001100 {c, d, i}
  12 [2]: (000114) 000100010100 {c, e, i}
  13 [2]: (000124) 000100100100 {c, f, i}
  14 [2]: (000144) 000101000100 {c, g, i}
  15 [2]: (000184) 000110000100 {c, h, i}
  16 [2]: (00020C) 001000001100 {c, d, j}
  17 [2]: (000214) 001000010100 {c, e, j}
  18 [2]: (000224) 001000100100 {c, f, j}
  19 [2]: (000244) 001001000100 {c, g, j}
  20 [2]: (000284) 001010000100 {c, h, j}
  21 [2]: (000304) 001100000100 {c, i, j}
  22 [2]: (00040C) 010000001100 {c, d, k}
  23 [2]: (000414) 010000010100 {c, e, k}
  24 [2]: (000424) 010000100100 {c, f, k}
  25 [2]: (000444) 010001000100 {c, g, k}
  26 [2]: (000484) 010010000100 {c, h, k}
  27 [2]: (000504) 010100000100 {c, i, k}
  28 [2]: (000604) 011000000100 {c, j, k}
  29 [2]: (00080C) 100000001100 {c, d, l}
  30 [2]: (000814) 100000010100 {c, e, l}
  31 [2]: (000824) 100000100100 {c, f, l}
  32 [2]: (000844) 100001000100 {c, g, l}
  33 [2]: (000884) 100010000100 {c, h, l}
  34 [2]: (000904) 100100000100 {c, i, l}
  35 [2]: (000A04) 101000000100 {c, j, l}
  36 [2]: (000C04) 110000000100 {c, k, l}
  37 [2]: (00001A) 000000011010 {b, d, e}
  38 [2]: (00002A) 000000101010 {b, d, f}
  39 [2]: (000032) 000000110010 {b, e, f}
  40 [2]: (00004A) 000001001010 {b, d, g}
  41 [2]: (000052) 000001010010 {b, e, g}
  42 [2]: (000062) 000001100010 {b, f, g}
  43 [2]: (00008A) 000010001010 {b, d, h}
  44 [2]: (000092) 000010010010 {b, e, h}
  45 [2]: (0000A2) 000010100010 {b, f, h}
  46 [2]: (0000C2) 000011000010 {b, g, h}
  47 [2]: (00010A) 000100001010 {b, d, i}
  48 [2]: (000112) 000100010010 {b, e, i}
  49 [2]: (000122) 000100100010 {b, f, i}
  50 [2]: (000142) 000101000010 {b, g, i}
  51 [2]: (000182) 000110000010 {b, h, i}
  52 [2]: (00020A) 001000001010 {b, d, j}
  53 [2]: (000212) 001000010010 {b, e, j}
  54 [2]: (000222) 001000100010 {b, f, j}
  55 [2]: (000242) 001001000010 {b, g, j}
  56 [2]: (000282) 001010000010 {b, h, j}
  57 [2]: (000302) 001100000010 {b, i, j}
  58 [2]: (00040A) 010000001010 {b, d, k}
  59 [2]: (000412) 010000010010 {b, e, k}
  60 [2]: (000422) 010000100010 {b, f, k}
