** FASE 1: Generazione dei 5-subset a distanza casuale (4)
** Base set: 000000011111 {a, b, c, d, e}
   1 [4]: (0001F0) 000111110000 {e, f, g, h, i}
   2 [4]: (0002F0) 001011110000 {e, f, g, h, j}
   3 [4]: (000370) 001101110000 {e, f, g, i, j}
   4 [4]: (0003B0) 001110110000 {e, f, h, i, j}
   5 [4]: (0003D0) 001111010000 {e, g, h, i, j}
   6 [4]: (0004F0) 010011110000 {e, f, g, h, k}
   7 [4]: (000570) 010101110000 {e, f, g, i, k}
   8 [4]: (0005B0) 010110110000 {e, f, h, i, k}
   9 [4]: (0005D0) 010111010000 {e, g, h, i, k}
  10 [4]: (000670) 011001110000 {e, f, g, j, k}
  11 [4]: (0006B0) 011010110000 {e, f, h, j, k}
  12 [4]: (0006D0) 011011010000 {e, g, h, j, k}
  13 [4]: (000730) 011100110000 {e, f, i, j, k}
  14 [4]: (000750) 011101010000 {e, g, i, j, k}
  15 [4]: (000790) 011110010000 {e, h, i, j, k}
  16 [4]: (0008F0) 100011110000 {e, f, g, h, l}
  17 [4]: (000970) 100101110000 {e, f, g, i, l}
  18 [4]: (0009B0) 100110110000 {e, f, h, i, l}
  19 [4]: (0009D0) 100111010000 {e, g, h, i, l}
  20 [4]: (000A70) 101001110000 {e, f, g, j, l}
  21 [4]: (000AB0) 101010110000 {e, f, h, j, l}
  22 [4]: (000AD0) 101011010000 {e, g, h, j, l}
  23 [4]: (000B30) 101100110000 {e, f, i, j, l}
  24 [4]: (000B50) 101101010000 {e, g, i, j, l}
  25 [4]: (000B90) 101110010000 {e, h, i, j, l}
  26 [4]: (000C70) 110001110000 {e, f, g, k, l}
  27 [4]: (000CB0) 110010110000 {e, f, h, k, l}
  28 [4]: (000CD0) 110011010000 {e, g, h, k, l}
  29 [4]: (000D30) 110100110000 {e, f, i, k, l}
  30 [4]: (000D50) 110101010000 {e, g, i, k, l}
  31 [4]: (000D90) 110110010000 {e, h, i, k, l}
  32 [4]: (000E30) 111000110000 {e, f, j, k, l}
  33 [4]: (000E50) 111001010000 {e, g, j, k, l}
