** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 00000111 {a, b, c}
   1 [2]: (00001C) 00011100 {c, d, e}
   2 [2]: (00002C) 00101100 {c, d, f}
   3 [2]: (000034) 00110100 {c, e, f}
   4 [2]: (00004C) 01001100 {c, d, g}
   5 [2]: (000054) 01010100 {c, e, g}
   6 [2]: (000064) 01100100 {c, f, g}
   7 [2]: (00008C) 10001100 {c, d, h}
   8 [2]: (000094) 10010100 {c, e, h}
   9 [2]: (0000A4) 10100100 {c, f, h}
  10 [2]: (0000C4) 11000100 {c, g, h}
  11 [2]: (00001A) 00011010 {b, d, e}
  12 [2]: (00002A) 00101010 {b, d, f}
  13 [2]: (000032) 00110010 {b, e, f}
  14 [2]: (00004A) 01001010 {b, d, g}
  15 [2]: (000052) 01010010 {b, e, g}
  16 [2]: (000062) 01100010 {b, f, g}
  17 [2]: (00008A) 10001010 {b, d, h}
  18 [2]: (000092) 10010010 {b, e, h}
  19 [2]: (0000A2) 10100010 {b, f, h}
  20 [2]: (0000C2) 11000010 {b, g, h}
  21 [2]: (000019) 00011001 {a, d, e}
  22 [2]: (000029) 00101001 {a, d, f}
  23 [2]: (000031) 00110001 {a, e, f}
  24 [2]: (000049) 01001001 {a, d, g}
  25 [2]: (000051) 01010001 {a, e, g}
  26 [2]: (000061) 01100001 {a, f, g}
  27 [2]: (000089) 10001001 {a, d, h}
  28 [2]: (000091) 10010001 {a, e, h}
  29 [2]: (0000A1) 10100001 {a, f, h}
  30 [2]: (0000C1) 11000001 {a, g, h}

** FASE 2: Generazione esaustiva dei 3-subset
**         ordinati per distanza di Hamming crescente:

=== d = 0 ===
** Base set: 00000111 {a, b, c}

=== d = 1 ===
   1 [1]: (00000E) 00001110 {b, c, d}
   2 [1]: (000016) 00010110 {b, c, e}
   3 [1]: (000026) 00100110 {b, c, f}
   4 [1]: (000046) 01000110 {b, c, g}
   5 [1]: (000086) 10000110 {b, c, h}
   6 [1]: (00000D) 00001101 {a, c, d}
   7 [1]: (000015) 00010101 {a, c, e}
   8 [1]: (000025) 00100101 {a, c, f}
   9 [1]: (000045) 01000101 {a, c, g}
  10 [1]: (000085) 10000101 {a, c, h}
  11 [1]: (00000B) 00001011 {a, b, d}
  12 [1]: (000013) 00010011 {a, b, e}
  13 [1]: (000023) 00100011 {a, b, f}
  14 [1]: (000043) 01000011 {a, b, g}
  15 [1]: (000083) 10000011 {a, b, h}

=== d = 2 ===
  16 [2]: (00001C) 00011100 {c, d, e}
  17 [2]: (00002C) 00101100 {c, d, f}
  18 [2]: (000034) 00110100 {c, e, f}
  19 [2]: (00004C) 01001100 {c, d, g}
  20 [2]: (000054) 01010100 {c, e, g}
  21 [2]: (000064) 01100100 {c, f, g}
  22 [2]: (00008C) 10001100 {c, d, h}
  23 [2]: (000094) 10010100 {c, e, h}
  24 [2]: (0000A4) 10100100 {c, f, h}
  25 [2]: (0000C4) 11000100 {c, g, h}
  26 [2]: (00001A) 00011010 {b, d, e}
  27 [2]: (00002A) 00101010 {b, d, f}
  28 [2]: (000032) 00110010 {b, e, f}
  29 [2]: (00004A) 01001010 {b, d, g}
  30 [2]: (000052) 01010010 {b, e, g}
  31 [2]: (000062) 01100010 {b, f, g}
  32 [2]: (00008A) 10001010 {b, d, h}
  33 [2]: (000092) 10010010 {b, e, h}
  34 [2]: (0000A2) 10100010 {b, f, h}
  35 [2]: (0000C2) 11000010 {b, g, h}
  36 [2]: (000019) 00011001 {a, d, e}
  37 [2]: (000029) 00101001 {a, d, f}
  38 [2]: (000031) 00110001 {a, e, f}
  39 [2]: (000049) 01001001 {a, d, g}
  40 [2]: (000051) 01010001 {a, e, g}
  41 [2]: (000061) 01100001 {a, f, g}
  42 [2]: (000089) 10001001 {a, d, h}
  43 [2]: (000091) 10010001 {a, e, h}
  44 [2]: (0000A1) 10100001 {a, f, h}
  45 [2]: (0000C1) 11000001 {a, g, h}

=== d = 3 ===
  46 [3]: (000038) 00111000 {d, e, f}
  47 [3]: (000058) 01011000 {d, e, g}
  48 [3]: (000068) 01101000 {d, f, g}
  49 [3]: (000070) 01110000 {e, f, g}
  50 [3]: (000098) 10011000 {d, e, h}
  51 [3]: (0000A8) 10101000 {d, f, h}
  52 [3]: (0000B0) 10110000 {e, f, h}
  53 [3]: (0000C8) 11001000 {d, g, h}
  54 [3]: (0000D0) 11010000 {e, g, h}
  55 [3]: (0000E0) 11100000 {f, g, h}

** Subset generati: 55

