** FASE 1: Generazione dei 4-subset a distanza casuale (1)
** Base set: 0000001111 {a, b, c, d}
   1 [1]: (00001E) 0000011110 {b, c, d, e}
   2 [1]: (00002E) 0000101110 {b, c, d, f}
   3 [1]: (00004E) 0001001110 {b, c, d, g}
   4 [1]: (00008E) 0010001110 {b, c, d, h}
   5 [1]: (00010E) 0100001110 {b, c, d, i}
   6 [1]: (00020E) 1000001110 {b, c, d, j}
   7 [1]: (00001D) 0000011101 {a, c, d, e}
   8 [1]: (00002D) 0000101101 {a, c, d, f}
   9 [1]: (00004D) 0001001101 {a, c, d, g}
  10 [1]: (00008D) 0010001101 {a, c, d, h}
  11 [1]: (00010D) 0100001101 {a, c, d, i}
  12 [1]: (00020D) 1000001101 {a, c, d, j}
  13 [1]: (00001B) 0000011011 {a, b, d, e}
  14 [1]: (00002B) 0000101011 {a, b, d, f}
  15 [1]: (00004B) 0001001011 {a, b, d, g}
  16 [1]: (00008B) 0010001011 {a, b, d, h}
  17 [1]: (00010B) 0100001011 {a, b, d, i}
  18 [1]: (00020B) 1000001011 {a, b, d, j}
  19 [1]: (000017) 0000010111 {a, b, c, e}
  20 [1]: (000027) 0000100111 {a, b, c, f}
  21 [1]: (000047) 0001000111 {a, b, c, g}
  22 [1]: (000087) 0010000111 {a, b, c, h}
  23 [1]: (000107) 0100000111 {a, b, c, i}
  24 [1]: (000207) 1000000111 {a, b, c, j}

** FASE 2: Generazione esaustiva dei 4-subset
**         ordinati per distanza di Hamming crescente:

=== d = 0 ===
** Base set: 0000001111 {a, b, c, d}

=== d = 1 ===
   1 [1]: (00001E) 0000011110 {b, c, d, e}
   2 [1]: (00002E) 0000101110 {b, c, d, f}
   3 [1]: (00004E) 0001001110 {b, c, d, g}
   4 [1]: (00008E) 0010001110 {b, c, d, h}
   5 [1]: (00010E) 0100001110 {b, c, d, i}
   6 [1]: (00020E) 1000001110 {b, c, d, j}
   7 [1]: (00001D) 0000011101 {a, c, d, e}
   8 [1]: (00002D) 0000101101 {a, c, d, f}
   9 [1]: (00004D) 0001001101 {a, c, d, g}
  10 [1]: (00008D) 0010001101 {a, c, d, h}
  11 [1]: (00010D) 0100001101 {a, c, d, i}
  12 [1]: (00020D) 1000001101 {a, c, d, j}
  13 [1]: (00001B) 0000011011 {a, b, d, e}
  14 [1]: (00002B) 0000101011 {a, b, d, f}
  15 [1]: (00004B) 0001001011 {a, b, d, g}
  16 [1]: (00008B) 0010001011 {a, b, d, h}
  17 [1]: (00010B) 0100001011 {a, b, d, i}
  18 [1]: (00020B) 1000001011 {a, b, d, j}
  19 [1]: (000017) 0000010111 {a, b, c, e}
  20 [1]: (000027) 0000100111 {a, b, c, f}
  21 [1]: (000047) 0001000111 {a, b, c, g}
  22 [1]: (000087) 0010000111 {a, b, c, h}
  23 [1]: (000107) 0100000111 {a, b, c, i}
  24 [1]: (000207) 1000000111 {a, b, c, j}

=== d = 2 ===
  25 [2]: (00003C) 0000111100 {c, d, e, f}
  26 [2]: (00005C) 0001011100 {c, d, e, g}
  27 [2]: (00006C) 0001101100 {c, d, f, g}
  28 [2]: (00009C) 0010011100 {c, d, e, h}
  29 [2]: (0000AC) 0010101100 {c, d, f, h}
  30 [2]: (0000CC) 0011001100 {c, d, g, h}
  31 [2]: (00011C) 0100011100 {c, d, e, i}
  32 [2]: (00012C) 0100101100 {c, d, f, i}
  33 [2]: (00014C) 0101001100 {c, d, g, i}
  34 [2]: (00018C) 0110001100 {c, d, h, i}
  35 [2]: (00021C) 1000011100 {c, d, e, j}
  36 [2]: (00022C) 1000101100 {c, d, f, j}
  37 [2]: (00024C) 1001001100 {c, d, g, j}
  38 [2]: (00028C) 1010001100 {c, d, h, j}
  39 [2]: (00030C) 1100001100 {c, d, i, j}
  40 [2]: (00003A) 0000111010 {b, d, e, f}
  41 [2]: (00005A) 0001011010 {b, d, e, g}
  42 [2]: (00006A) 0001101010 {b, d, f, g}
  43 [2]: (00009A) 0010011010 {b, d, e, h}
  44 [2]: (0000AA) 0010101010 {b, d, f, h}
  45 [2]: (0000CA) 0011001010 {b, d, g, h}
  46 [2]: (00011A) 0100011010 {b, d, e, i}
  47 [2]: (00012A) 0100101010 {b, d, f, i}
  48 [2]: (00014A) 0101001010 {b, d, g, i}
  49 [2]: (00018A) 0110001010 {b, d, h, i}
  50 [2]: (00021A) 1000011010 {b, d, e, j}
  51 [2]: (00022A) 1000101010 {b, d, f, j}
  52 [2]: (00024A) 1001001010 {b, d, g, j}
  53 [2]: (00028A) 1010001010 {b, d, h, j}
  54 [2]: (00030A) 1100001010 {b, d, i, j}
  55 [2]: (000039) 0000111001 {a, d, e, f}
  56 [2]: (000059) 0001011001 {a, d, e, g}
  57 [2]: (000069) 0001101001 {a, d, f, g}
  58 [2]: (000099) 0010011001 {a, d, e, h}
  59 [2]: (0000A9) 0010101001 {a, d, f, h}
  60 [2]: (0000C9) 0011001001 {a, d, g, h}
  61 [2]: (000119) 0100011001 {a, d, e, i}
  62 [2]: (000129) 0100101001 {a, d, f, i}
  63 [2]: (000149) 0101001001 {a, d, g, i}
  64 [2]: (000189) 0110001001 {a, d, h, i}
  65 [2]: (000219) 1000011001 {a, d, e, j}
  66 [2]: (000229) 1000101001 {a, d, f, j}
  67 [2]: (000249) 1001001001 {a, d, g, j}
  68 [2]: (000289) 1010001001 {a, d, h, j}
  69 [2]: (000309) 1100001001 {a, d, i, j}
  70 [2]: (000036) 0000110110 {b, c, e, f}
  71 [2]: (000056) 0001010110 {b, c, e, g}
  72 [2]: (000066) 0001100110 {b, c, f, g}
  73 [2]: (000096) 0010010110 {b, c, e, h}
  74 [2]: (0000A6) 0010100110 {b, c, f, h}
  75 [2]: (0000C6) 0011000110 {b, c, g, h}
  76 [2]: (000116) 0100010110 {b, c, e, i}
  77 [2]: (000126) 0100100110 {b, c, f, i}
  78 [2]: (000146) 0101000110 {b, c, g, i}
  79 [2]: (000186) 0110000110 {b, c, h, i}
  80 [2]: (000216) 1000010110 {b, c, e, j}
  81 [2]: (000226) 1000100110 {b, c, f, j}
  82 [2]: (000246) 1001000110 {b, c, g, j}
  83 [2]: (000286) 1010000110 {b, c, h, j}
  84 [2]: (000306) 1100000110 {b, c, i, j}
  85 [2]: (000035) 0000110101 {a, c, e, f}
  86 [2]: (000055) 0001010101 {a, c, e, g}
  87 [2]: (000065) 0001100101 {a, c, f, g}
  88 [2]: (000095) 0010010101 {a, c, e, h}
  89 [2]: (0000A5) 0010100101 {a, c, f, h}
  90 [2]: (0000C5) 0011000101 {a, c, g, h}
  91 [2]: (000115) 0100010101 {a, c, e, i}
  92 [2]: (000125) 0100100101 {a, c, f, i}
  93 [2]: (000145) 0101000101 {a, c, g, i}
  94 [2]: (000185) 0110000101 {a, c, h, i}
