** FASE 1: Generazione dei 4-subset a distanza casuale (4)
** Base set: 0000000000000000000000000001111 {a, b, c, d}
  90 [4]: (001380) 0000000000000000001001110000000 {h, i, j, m}
  91 [4]: (001430) 0000000000000000001010000110000 {e, f, k, m}
  92 [4]: (001450) 0000000000000000001010001010000 {e, g, k, m}
  93 [4]: (001460) 0000000000000000001010001100000 {f, g, k, m}
  94 [4]: (001490) 0000000000000000001010010010000 {e, h, k, m}
  95 [4]: (0014A0) 0000000000000000001010010100000 {f, h, k, m}
  96 [4]: (0014C0) 0000000000000000001010011000000 {g, h, k, m}
  97 [4]: (001510) 0000000000000000001010100010000 {e, i, k, m}
  98 [4]: (001520) 0000000000000000001010100100000 {f, i, k, m}
  99 [4]: (001540) 0000000000000000001010101000000 {g, i, k, m}
 100 [4]: (001580) 0000000000000000001010110000000 {h, i, k, m}
 101 [4]: (001610) 0000000000000000001011000010000 {e, j, k, m}
 102 [4]: (001620) 0000000000000000001011000100000 {f, j, k, m}
 103 [4]: (001640) 0000000000000000001011001000000 {g, j, k, m}
 104 [4]: (001680) 0000000000000000001011010000000 {h, j, k, m}
 105 [4]: (001700) 0000000000000000001011100000000 {i, j, k, m}
 106 [4]: (001830) 0000000000000000001100000110000 {e, f, l, m}
 107 [4]: (001850) 0000000000000000001100001010000 {e, g, l, m}
 108 [4]: (001860) 0000000000000000001100001100000 {f, g, l, m}
 109 [4]: (001890) 0000000000000000001100010010000 {e, h, l, m}
 110 [4]: (0018A0) 0000000000000000001100010100000 {f, h, l, m}
 111 [4]: (0018C0) 0000000000000000001100011000000 {g, h, l, m}
 112 [4]: (001910) 0000000000000000001100100010000 {e, i, l, m}
 113 [4]: (001920) 0000000000000000001100100100000 {f, i, l, m}
 114 [4]: (001940) 0000000000000000001100101000000 {g, i, l, m}
 115 [4]: (001980) 0000000000000000001100110000000 {h, i, l, m}
 116 [4]: (001A10) 0000000000000000001101000010000 {e, j, l, m}
 117 [4]: (001A20) 0000000000000000001101000100000 {f, j, l, m}
 118 [4]: (001A40) 0000000000000000001101001000000 {g, j, l, m}
 119 [4]: (001A80) 0000000000000000001101010000000 {h, j, l, m}
 120 [4]: (001B00) 0000000000000000001101100000000 {i, j, l, m}
 121 [4]: (001C10) 0000000000000000001110000010000 {e, k, l, m}
 122 [4]: (001C20) 0000000000000000001110000100000 {f, k, l, m}
 123 [4]: (001C40) 0000000000000000001110001000000 {g, k, l, m}
 124 [4]: (001C80) 0000000000000000001110010000000 {h, k, l, m}
 125 [4]: (001D00) 0000000000000000001110100000000 {i, k, l, m}
 126 [4]: (001E00) 0000000000000000001111000000000 {j, k, l, m}
 127 [4]: (002070) 0000000000000000010000001110000 {e, f, g, n}
 128 [4]: (0020B0) 0000000000000000010000010110000 {e, f, h, n}
 129 [4]: (0020D0) 0000000000000000010000011010000 {e, g, h, n}
 130 [4]: (0020E0) 0000000000000000010000011100000 {f, g, h, n}
 131 [4]: (002130) 0000000000000000010000100110000 {e, f, i, n}
 132 [4]: (002150) 0000000000000000010000101010000 {e, g, i, n}
 133 [4]: (002160) 0000000000000000010000101100000 {f, g, i, n}
 134 [4]: (002190) 0000000000000000010000110010000 {e, h, i, n}
 135 [4]: (0021A0) 0000000000000000010000110100000 {f, h, i, n}
 136 [4]: (0021C0) 0000000000000000010000111000000 {g, h, i, n}
 137 [4]: (002230) 0000000000000000010001000110000 {e, f, j, n}
 138 [4]: (002250) 0000000000000000010001001010000 {e, g, j, n}
 139 [4]: (002260) 0000000000000000010001001100000 {f, g, j, n}
 140 [4]: (002290) 0000000000000000010001010010000 {e, h, j, n}
 141 [4]: (0022A0) 0000000000000000010001010100000 {f, h, j, n}
 142 [4]: (0022C0) 0000000000000000010001011000000 {g, h, j, n}
 143 [4]: (002310) 0000000000000000010001100010000 {e, i, j, n}
 144 [4]: (002320) 0000000000000000010001100100000 {f, i, j, n}
 145 [4]: (002340) 0000000000000000010001101000000 {g, i, j, n}
 146 [4]: (002380) 0000000000000000010001110000000 {h, i, j, n}
 147 [4]: (002430) 0000000000000000010010000110000 {e, f, k, n}
 148 [4]: (002450) 0000000000000000010010001010000 {e, g, k, n}
 149 [4]: (002460) 0000000000000000010010001100000 {f, g, k, n}
 150 [4]: (002490) 0000000000000000010010010010000 {e, h, k, n}
 151 [4]: (0024A0) 0000000000000000010010010100000 {f, h, k, n}
 152 [4]: (0024C0) 0000000000000000010010011000000 {g, h, k, n}
 153 [4]: (002510) 0000000000000000010010100010000 {e, i, k, n}
 154 [4]: (002520) 0000000000000000010010100100000 {f, i, k, n}
 155 [4]: (002540) 0000000000000000010010101000000 {g, i, k, n}
 156 [4]: (002580) 0000000000000000010010110000000 {h, i, k, n}
 157 [4]: (002610) 0000000000000000010011000010000 {e, j, k, n}
 158 [4]: (002620) 0000000000000000010011000100000 {f, j, k, n}
 159 [4]: (002640) 0000000000000000010011001000000 {g, j, k, n}
 160 [4]: (002680) 0000000000000000010011010000000 {h, j, k, n}
 161 [4]: (002700) 0000000000000000010011100000000 {i, j, k, n}
 162 [4]: (002830) 0000000000000000010100000110000 {e, f, l, n}
 163 [4]: (002850) 0000000000000000010100001010000 {e, g, l, n}
 164 [4]: (002860) 0000000000000000010100001100000 {f, g, l, n}
 165 [4]: (002890) 0000000000000000010100010010000 {e, h, l, n}
 166 [4]: (0028A0) 0000000000000000010100010100000 {f, h, l, n}
 167 [4]: (0028C0) 0000000000000000010100011000000 {g, h, l, n}
 168 [4]: (002910) 0000000000000000010100100010000 {e, i, l, n}
 169 [4]: (002920) 0000000000000000010100100100000 {f, i, l, n}
 170 [4]: (002940) 0000000000000000010100101000000 {g, i, l, n}
 171 [4]: (002980) 0000000000000000010100110000000 {h, i, l, n}
 172 [4]: (002A10) 0000000000000000010101000010000 {e, j, l, n}
 173 [4]: (002A20) 0000000000000000010101000100000 {f, j, l, n}
 174 [4]: (002A40) 0000000000000000010101001000000 {g, j, l, n}
 175 [4]: (002A80) 0000000000000000010101010000000 {h, j, l, n}
 176 [4]: (002B00) 0000000000000000010101100000000 {i, j, l, n}
 177 [4]: (002C10) 0000000000000000010110000010000 {e, k, l, n}
 178 [4]: (002C20) 0000000000000000010110000100000 {f, k, l, n}
 179 [4]: (002C40) 0000000000000000010110001000000 {g, k, l, n}
 180 [4]: (002C80) 0000000000000000010110010000000 {h, k, l, n}
 181 [4]: (002D00) 0000000000000000010110100000000 {i, k, l, n}
 182 [4]: (002E00) 0000000000000000010111000000000 {j, k, l, n}
 183 [4]: (003030) 0000000000000000011000000110000 {e, f, m, n}
 184 [4]: (003050) 0000000000000000011000001010000 {e, g, m, n}
 185 [4]: (003060) 0000000000000000011000001100000 {f, g, m, n}
 186 [4]: (003090) 0000000000000000011000010010000 {e, h, m, n}
 187 [4]: (0030A0) 0000000000000000011000010100000 {f, h, m, n}
 188 [4]: (0030C0) 0000000000000000011000011000000 {g, h, m, n}
 189 [4]: (003110) 0000000000000000011000100010000 {e, i, m, n}
 190 [4]: (003120) 0000000000000000011000100100000 {f, i, m, n}
 191 [4]: (003140) 0000000000000000011000101000000 {g, i, m, n}
 192 [4]: (003180) 0000000000000000011000110000000 {h, i, m, n}
 193 [4]: (003210) 0000000000000000011001000010000 {e, j, m, n}
 194 [4]: (003220) 0000000000000000011001000100000 {f, j, m, n}
 195 [4]: (003240) 0000000000000000011001001000000 {g, j, m, n}
 196 [4]: (003280) 0000000000000000011001010000000 {h, j, m, n}
 197 [4]: (003300) 0000000000000000011001100000000 {i, j, m, n}
 198 [4]: (003410) 0000000000000000011010000010000 {e, k, m, n}
 199 [4]: (003420) 0000000000000000011010000100000 {f, k, m, n}
 200 [4]: (003440) 0000000000000000011010001000000 {g, k, m, n}
 201 [4]: (003480) 0000000000000000011010010000000 {h, k, m, n}
 202 [4]: (003500) 0000000000000000011010100000000 {i, k, m, n}
 203 [4]: (003600) 0000000000000000011011000000000 {j, k, m, n}
 204 [4]: (003810) 0000000000000000011100000010000 {e, l, m, n}
 205 [4]: (003820) 0000000000000000011100000100000 {f, l, m, n}
 206 [4]: (003840) 0000000000000000011100001000000 {g, l, m, n}
 207 [4]: (003880) 0000000000000000011100010000000 {h, l, m, n}
 208 [4]: (003900) 0000000000000000011100100000000 {i, l, m, n}
 209 [4]: (003A00) 0000000000000000011101000000000 {j, l, m, n}
 210 [4]: (003C00) 0000000000000000011110000000000 {k, l, m, n}
 211 [4]: (004070) 0000000000000000100000001110000 {e, f, g, o}
 212 [4]: (0040B0) 0000000000000000100000010110000 {e, f, h, o}
 213 [4]: (0040D0) 0000000000000000100000011010000 {e, g, h, o}
 214 [4]: (0040E0) 0000000000000000100000011100000 {f, g, h, o}
