** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 0000000000000000000000000000111 {a, b, c}
   1 [2]: (00001C) 0000000000000000000000000011100 {c, d, e}
   2 [2]: (00002C) 0000000000000000000000000101100 {c, d, f}
   3 [2]: (000034) 0000000000000000000000000110100 {c, e, f}
   4 [2]: (00004C) 0000000000000000000000001001100 {c, d, g}
   5 [2]: (000054) 0000000000000000000000001010100 {c, e, g}
   6 [2]: (000064) 0000000000000000000000001100100 {c, f, g}
   7 [2]: (00008C) 0000000000000000000000010001100 {c, d, h}
   8 [2]: (000094) 0000000000000000000000010010100 {c, e, h}
   9 [2]: (0000A4) 0000000000000000000000010100100 {c, f, h}
  10 [2]: (0000C4) 0000000000000000000000011000100 {c, g, h}
  11 [2]: (00010C) 0000000000000000000000100001100 {c, d, i}
  12 [2]: (000114) 0000000000000000000000100010100 {c, e, i}
  13 [2]: (000124) 0000000000000000000000100100100 {c, f, i}
  14 [2]: (000144) 0000000000000000000000101000100 {c, g, i}
  15 [2]: (000184) 0000000000000000000000110000100 {c, h, i}
  16 [2]: (00020C) 0000000000000000000001000001100 {c, d, j}
  17 [2]: (000214) 0000000000000000000001000010100 {c, e, j}
  18 [2]: (000224) 0000000000000000000001000100100 {c, f, j}
  19 [2]: (000244) 0000000000000000000001001000100 {c, g, j}
  20 [2]: (000284) 0000000000000000000001010000100 {c, h, j}
  21 [2]: (000304) 0000000000000000000001100000100 {c, i, j}
  22 [2]: (00040C) 0000000000000000000010000001100 {c, d, k}
  23 [2]: (000414) 0000000000000000000010000010100 {c, e, k}
  24 [2]: (000424) 0000000000000000000010000100100 {c, f, k}
  25 [2]: (000444) 0000000000000000000010001000100 {c, g, k}
  26 [2]: (000484) 0000000000000000000010010000100 {c, h, k}
  27 [2]: (000504) 0000000000000000000010100000100 {c, i, k}
  28 [2]: (000604) 0000000000000000000011000000100 {c, j, k}
  29 [2]: (00080C) 0000000000000000000100000001100 {c, d, l}
  30 [2]: (000814) 0000000000000000000100000010100 {c, e, l}
  31 [2]: (000824) 0000000000000000000100000100100 {c, f, l}
  32 [2]: (000844) 0000000000000000000100001000100 {c, g, l}
  33 [2]: (000884) 0000000000000000000100010000100 {c, h, l}
