** FASE 1: Generazione dei 5-subset a distanza casuale (4)
** Base set: 0000011111 {a, b, c, d, e}
  77 [2]: (0000B3) 0010110011 {a, b, e, f, h}
  78 [2]: (0000D3) 0011010011 {a, b, e, g, h}
  79 [2]: (000133) 0100110011 {a, b, e, f, i}
  80 [2]: (000153) 0101010011 {a, b, e, g, i}
  81 [2]: (000193) 0110010011 {a, b, e, h, i}
  82 [2]: (000233) 1000110011 {a, b, e, f, j}
  83 [2]: (000253) 1001010011 {a, b, e, g, j}
  84 [2]: (000293) 1010010011 {a, b, e, h, j}
  85 [2]: (000313) 1100010011 {a, b, e, i, j}
  86 [2]: (00006E) 0001101110 {b, c, d, f, g}
  87 [2]: (0000AE) 0010101110 {b, c, d, f, h}
  88 [2]: (0000CE) 0011001110 {b, c, d, g, h}
  89 [2]: (00012E) 0100101110 {b, c, d, f, i}
  90 [2]: (00014E) 0101001110 {b, c, d, g, i}
  91 [2]: (00018E) 0110001110 {b, c, d, h, i}
  92 [2]: (00022E) 1000101110 {b, c, d, f, j}
  93 [2]: (00024E) 1001001110 {b, c, d, g, j}
  94 [2]: (00028E) 1010001110 {b, c, d, h, j}
  95 [2]: (00030E) 1100001110 {b, c, d, i, j}
  96 [2]: (00006D) 0001101101 {a, c, d, f, g}
  97 [2]: (0000AD) 0010101101 {a, c, d, f, h}
  98 [2]: (0000CD) 0011001101 {a, c, d, g, h}
  99 [2]: (00012D) 0100101101 {a, c, d, f, i}
 100 [2]: (00014D) 0101001101 {a, c, d, g, i}
 101 [2]: (00018D) 0110001101 {a, c, d, h, i}
 102 [2]: (00022D) 1000101101 {a, c, d, f, j}
 103 [2]: (00024D) 1001001101 {a, c, d, g, j}
 104 [2]: (00028D) 1010001101 {a, c, d, h, j}
 105 [2]: (00030D) 1100001101 {a, c, d, i, j}
 106 [2]: (00006B) 0001101011 {a, b, d, f, g}
 107 [2]: (0000AB) 0010101011 {a, b, d, f, h}
 108 [2]: (0000CB) 0011001011 {a, b, d, g, h}
 109 [2]: (00012B) 0100101011 {a, b, d, f, i}
 110 [2]: (00014B) 0101001011 {a, b, d, g, i}
 111 [2]: (00018B) 0110001011 {a, b, d, h, i}
 112 [2]: (00022B) 1000101011 {a, b, d, f, j}
 113 [2]: (00024B) 1001001011 {a, b, d, g, j}
 114 [2]: (00028B) 1010001011 {a, b, d, h, j}
 115 [2]: (00030B) 1100001011 {a, b, d, i, j}
 116 [2]: (000067) 0001100111 {a, b, c, f, g}
 117 [2]: (0000A7) 0010100111 {a, b, c, f, h}
 118 [2]: (0000C7) 0011000111 {a, b, c, g, h}
 119 [2]: (000127) 0100100111 {a, b, c, f, i}
 120 [2]: (000147) 0101000111 {a, b, c, g, i}
 121 [2]: (000187) 0110000111 {a, b, c, h, i}
 122 [2]: (000227) 1000100111 {a, b, c, f, j}
 123 [2]: (000247) 1001000111 {a, b, c, g, j}
 124 [2]: (000287) 1010000111 {a, b, c, h, j}
 125 [2]: (000307) 1100000111 {a, b, c, i, j}

=== d = 3 ===
 126 [3]: (0000F8) 0011111000 {d, e, f, g, h}
 127 [3]: (000178) 0101111000 {d, e, f, g, i}
 128 [3]: (0001B8) 0110111000 {d, e, f, h, i}
 129 [3]: (0001D8) 0111011000 {d, e, g, h, i}
 130 [3]: (000278) 1001111000 {d, e, f, g, j}
 131 [3]: (0002B8) 1010111000 {d, e, f, h, j}
 132 [3]: (0002D8) 1011011000 {d, e, g, h, j}
 133 [3]: (000338) 1100111000 {d, e, f, i, j}
 134 [3]: (000358) 1101011000 {d, e, g, i, j}
 135 [3]: (000398) 1110011000 {d, e, h, i, j}
 136 [3]: (0000F4) 0011110100 {c, e, f, g, h}
 137 [3]: (000174) 0101110100 {c, e, f, g, i}
 138 [3]: (0001B4) 0110110100 {c, e, f, h, i}
 139 [3]: (0001D4) 0111010100 {c, e, g, h, i}
 140 [3]: (000274) 1001110100 {c, e, f, g, j}
 141 [3]: (0002B4) 1010110100 {c, e, f, h, j}
 142 [3]: (0002D4) 1011010100 {c, e, g, h, j}
 143 [3]: (000334) 1100110100 {c, e, f, i, j}
 144 [3]: (000354) 1101010100 {c, e, g, i, j}
 145 [3]: (000394) 1110010100 {c, e, h, i, j}
 146 [3]: (0000F2) 0011110010 {b, e, f, g, h}
 147 [3]: (000172) 0101110010 {b, e, f, g, i}
 148 [3]: (0001B2) 0110110010 {b, e, f, h, i}
 149 [3]: (0001D2) 0111010010 {b, e, g, h, i}
 150 [3]: (000272) 1001110010 {b, e, f, g, j}
 151 [3]: (0002B2) 1010110010 {b, e, f, h, j}
 152 [3]: (0002D2) 1011010010 {b, e, g, h, j}
 153 [3]: (000332) 1100110010 {b, e, f, i, j}
 154 [3]: (000352) 1101010010 {b, e, g, i, j}
 155 [3]: (000392) 1110010010 {b, e, h, i, j}
 156 [3]: (0000F1) 0011110001 {a, e, f, g, h}
 157 [3]: (000171) 0101110001 {a, e, f, g, i}
 158 [3]: (0001B1) 0110110001 {a, e, f, h, i}
 159 [3]: (0001D1) 0111010001 {a, e, g, h, i}
 160 [3]: (000271) 1001110001 {a, e, f, g, j}
 161 [3]: (0002B1) 1010110001 {a, e, f, h, j}
 162 [3]: (0002D1) 1011010001 {a, e, g, h, j}
 163 [3]: (000331) 1100110001 {a, e, f, i, j}
 164 [3]: (000351) 1101010001 {a, e, g, i, j}
 165 [3]: (000391) 1110010001 {a, e, h, i, j}
 166 [3]: (0000EC) 0011101100 {c, d, f, g, h}
 167 [3]: (00016C) 0101101100 {c, d, f, g, i}
 168 [3]: (0001AC) 0110101100 {c, d, f, h, i}
 169 [3]: (0001CC) 0111001100 {c, d, g, h, i}
 170 [3]: (00026C) 1001101100 {c, d, f, g, j}
 171 [3]: (0002AC) 1010101100 {c, d, f, h, j}
 172 [3]: (0002CC) 1011001100 {c, d, g, h, j}
 173 [3]: (00032C) 1100101100 {c, d, f, i, j}
 174 [3]: (00034C) 1101001100 {c, d, g, i, j}
 175 [3]: (00038C) 1110001100 {c, d, h, i, j}
 176 [3]: (0000EA) 0011101010 {b, d, f, g, h}
 177 [3]: (00016A) 0101101010 {b, d, f, g, i}
 178 [3]: (0001AA) 0110101010 {b, d, f, h, i}
 179 [3]: (0001CA) 0111001010 {b, d, g, h, i}
 180 [3]: (00026A) 1001101010 {b, d, f, g, j}
 181 [3]: (0002AA) 1010101010 {b, d, f, h, j}
 182 [3]: (0002CA) 1011001010 {b, d, g, h, j}
 183 [3]: (00032A) 1100101010 {b, d, f, i, j}
 184 [3]: (00034A) 1101001010 {b, d, g, i, j}
 185 [3]: (00038A) 1110001010 {b, d, h, i, j}
 186 [3]: (0000E9) 0011101001 {a, d, f, g, h}
 187 [3]: (000169) 0101101001 {a, d, f, g, i}
 188 [3]: (0001A9) 0110101001 {a, d, f, h, i}
 189 [3]: (0001C9) 0111001001 {a, d, g, h, i}
 190 [3]: (000269) 1001101001 {a, d, f, g, j}
 191 [3]: (0002A9) 1010101001 {a, d, f, h, j}
