** FASE 1: Generazione dei 4-subset a distanza casuale (1)
** Base set: 0000000000000000001111 {a, b, c, d}
   1 [1]: (00001E) 0000000000000000011110 {b, c, d, e}
   2 [1]: (00002E) 0000000000000000101110 {b, c, d, f}
   3 [1]: (00004E) 0000000000000001001110 {b, c, d, g}
   4 [1]: (00008E) 0000000000000010001110 {b, c, d, h}
   5 [1]: (00010E) 0000000000000100001110 {b, c, d, i}
   6 [1]: (00020E) 0000000000001000001110 {b, c, d, j}
   7 [1]: (00040E) 0000000000010000001110 {b, c, d, k}
   8 [1]: (00080E) 0000000000100000001110 {b, c, d, l}
   9 [1]: (00100E) 0000000001000000001110 {b, c, d, m}
  10 [1]: (00200E) 0000000010000000001110 {b, c, d, n}
  11 [1]: (00400E) 0000000100000000001110 {b, c, d, o}
  12 [1]: (00800E) 0000001000000000001110 {b, c, d, p}
  13 [1]: (01000E) 0000010000000000001110 {b, c, d, q}
  14 [1]: (02000E) 0000100000000000001110 {b, c, d, r}
  15 [1]: (04000E) 0001000000000000001110 {b, c, d, s}
  16 [1]: (08000E) 0010000000000000001110 {b, c, d, t}
  17 [1]: (10000E) 0100000000000000001110 {b, c, d, u}
  18 [1]: (20000E) 1000000000000000001110 {b, c, d, v}
  19 [1]: (00001D) 0000000000000000011101 {a, c, d, e}
  20 [1]: (00002D) 0000000000000000101101 {a, c, d, f}
  21 [1]: (00004D) 0000000000000001001101 {a, c, d, g}
  22 [1]: (00008D) 0000000000000010001101 {a, c, d, h}
  23 [1]: (00010D) 0000000000000100001101 {a, c, d, i}
  24 [1]: (00020D) 0000000000001000001101 {a, c, d, j}
  25 [1]: (00040D) 0000000000010000001101 {a, c, d, k}
  26 [1]: (00080D) 0000000000100000001101 {a, c, d, l}
  27 [1]: (00100D) 0000000001000000001101 {a, c, d, m}
  28 [1]: (00200D) 0000000010000000001101 {a, c, d, n}
  29 [1]: (00400D) 0000000100000000001101 {a, c, d, o}
  30 [1]: (00800D) 0000001000000000001101 {a, c, d, p}
  31 [1]: (01000D) 0000010000000000001101 {a, c, d, q}
  32 [1]: (02000D) 0000100000000000001101 {a, c, d, r}
  33 [1]: (04000D) 0001000000000000001101 {a, c, d, s}
  34 [1]: (08000D) 0010000000000000001101 {a, c, d, t}
  35 [1]: (10000D) 0100000000000000001101 {a, c, d, u}
  36 [1]: (20000D) 1000000000000000001101 {a, c, d, v}
  37 [1]: (00001B) 0000000000000000011011 {a, b, d, e}
  38 [1]: (00002B) 0000000000000000101011 {a, b, d, f}
  39 [1]: (00004B) 0000000000000001001011 {a, b, d, g}
  40 [1]: (00008B) 0000000000000010001011 {a, b, d, h}
  41 [1]: (00010B) 0000000000000100001011 {a, b, d, i}
  42 [1]: (00020B) 0000000000001000001011 {a, b, d, j}
  43 [1]: (00040B) 0000000000010000001011 {a, b, d, k}
  44 [1]: (00080B) 0000000000100000001011 {a, b, d, l}
  45 [1]: (00100B) 0000000001000000001011 {a, b, d, m}
  46 [1]: (00200B) 0000000010000000001011 {a, b, d, n}
  47 [1]: (00400B) 0000000100000000001011 {a, b, d, o}
  48 [1]: (00800B) 0000001000000000001011 {a, b, d, p}
  49 [1]: (01000B) 0000010000000000001011 {a, b, d, q}
  50 [1]: (02000B) 0000100000000000001011 {a, b, d, r}
  51 [1]: (04000B) 0001000000000000001011 {a, b, d, s}
