** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 0000000111 {a, b, c}
   1 [2]: (00001C) 0000011100 {c, d, e}
   2 [2]: (00002C) 0000101100 {c, d, f}
   3 [2]: (000034) 0000110100 {c, e, f}
   4 [2]: (00004C) 0001001100 {c, d, g}
   5 [2]: (000054) 0001010100 {c, e, g}
   6 [2]: (000064) 0001100100 {c, f, g}
   7 [2]: (00008C) 0010001100 {c, d, h}
   8 [2]: (000094) 0010010100 {c, e, h}
   9 [2]: (0000A4) 0010100100 {c, f, h}
  10 [2]: (0000C4) 0011000100 {c, g, h}
  11 [2]: (00010C) 0100001100 {c, d, i}
  12 [2]: (000114) 0100010100 {c, e, i}
  13 [2]: (000124) 0100100100 {c, f, i}
  14 [2]: (000144) 0101000100 {c, g, i}
  15 [2]: (000184) 0110000100 {c, h, i}
  16 [2]: (00020C) 1000001100 {c, d, j}
  17 [2]: (000214) 1000010100 {c, e, j}
  18 [2]: (000224) 1000100100 {c, f, j}
  19 [2]: (000244) 1001000100 {c, g, j}
  20 [2]: (000284) 1010000100 {c, h, j}
  21 [2]: (000304) 1100000100 {c, i, j}
  22 [2]: (00001A) 0000011010 {b, d, e}
  23 [2]: (00002A) 0000101010 {b, d, f}
  24 [2]: (000032) 0000110010 {b, e, f}
  25 [2]: (00004A) 0001001010 {b, d, g}
  26 [2]: (000052) 0001010010 {b, e, g}
  27 [2]: (000062) 0001100010 {b, f, g}
  28 [2]: (00008A) 0010001010 {b, d, h}
  29 [2]: (000092) 0010010010 {b, e, h}
  30 [2]: (0000A2) 0010100010 {b, f, h}
  31 [2]: (0000C2) 0011000010 {b, g, h}
  32 [2]: (00010A) 0100001010 {b, d, i}
  33 [2]: (000112) 0100010010 {b, e, i}
  34 [2]: (000122) 0100100010 {b, f, i}
  35 [2]: (000142) 0101000010 {b, g, i}
  36 [2]: (000182) 0110000010 {b, h, i}
  37 [2]: (00020A) 1000001010 {b, d, j}
  38 [2]: (000212) 1000010010 {b, e, j}
  39 [2]: (000222) 1000100010 {b, f, j}
  40 [2]: (000242) 1001000010 {b, g, j}
  41 [2]: (000282) 1010000010 {b, h, j}
  42 [2]: (000302) 1100000010 {b, i, j}
  43 [2]: (000019) 0000011001 {a, d, e}
  44 [2]: (000029) 0000101001 {a, d, f}
  45 [2]: (000031) 0000110001 {a, e, f}
  46 [2]: (000049) 0001001001 {a, d, g}
  47 [2]: (000051) 0001010001 {a, e, g}
  48 [2]: (000061) 0001100001 {a, f, g}
  49 [2]: (000089) 0010001001 {a, d, h}
  50 [2]: (000091) 0010010001 {a, e, h}
  51 [2]: (0000A1) 0010100001 {a, f, h}
  52 [2]: (0000C1) 0011000001 {a, g, h}
  53 [2]: (000109) 0100001001 {a, d, i}
  54 [2]: (000111) 0100010001 {a, e, i}
  55 [2]: (000121) 0100100001 {a, f, i}
  56 [2]: (000141) 0101000001 {a, g, i}
  57 [2]: (000181) 0110000001 {a, h, i}
  58 [2]: (000209) 1000001001 {a, d, j}
  59 [2]: (000211) 1000010001 {a, e, j}
  60 [2]: (000221) 1000100001 {a, f, j}
  61 [2]: (000241) 1001000001 {a, g, j}
  62 [2]: (000281) 1010000001 {a, h, j}
  63 [2]: (000301) 1100000001 {a, i, j}

** FASE 2: Generazione esaustiva dei 3-subset
**         ordinati per distanza di Hamming crescente:

=== d = 0 ===
** Base set: 0000000111 {a, b, c}

=== d = 1 ===
   1 [1]: (00000E) 0000001110 {b, c, d}
   2 [1]: (000016) 0000010110 {b, c, e}
   3 [1]: (000026) 0000100110 {b, c, f}
   4 [1]: (000046) 0001000110 {b, c, g}
   5 [1]: (000086) 0010000110 {b, c, h}
   6 [1]: (000106) 0100000110 {b, c, i}
   7 [1]: (000206) 1000000110 {b, c, j}
   8 [1]: (00000D) 0000001101 {a, c, d}
   9 [1]: (000015) 0000010101 {a, c, e}
  10 [1]: (000025) 0000100101 {a, c, f}
  11 [1]: (000045) 0001000101 {a, c, g}
  12 [1]: (000085) 0010000101 {a, c, h}
  13 [1]: (000105) 0100000101 {a, c, i}
  14 [1]: (000205) 1000000101 {a, c, j}
  15 [1]: (00000B) 0000001011 {a, b, d}
  16 [1]: (000013) 0000010011 {a, b, e}
  17 [1]: (000023) 0000100011 {a, b, f}
  18 [1]: (000043) 0001000011 {a, b, g}
  19 [1]: (000083) 0010000011 {a, b, h}
  20 [1]: (000103) 0100000011 {a, b, i}
  21 [1]: (000203) 1000000011 {a, b, j}

=== d = 2 ===
  22 [2]: (00001C) 0000011100 {c, d, e}
  23 [2]: (00002C) 0000101100 {c, d, f}
  24 [2]: (000034) 0000110100 {c, e, f}
  25 [2]: (00004C) 0001001100 {c, d, g}
  26 [2]: (000054) 0001010100 {c, e, g}
  27 [2]: (000064) 0001100100 {c, f, g}
  28 [2]: (00008C) 0010001100 {c, d, h}
  29 [2]: (000094) 0010010100 {c, e, h}
  30 [2]: (0000A4) 0010100100 {c, f, h}
  31 [2]: (0000C4) 0011000100 {c, g, h}
  32 [2]: (00010C) 0100001100 {c, d, i}
  33 [2]: (000114) 0100010100 {c, e, i}
  34 [2]: (000124) 0100100100 {c, f, i}
  35 [2]: (000144) 0101000100 {c, g, i}
  36 [2]: (000184) 0110000100 {c, h, i}
  37 [2]: (00020C) 1000001100 {c, d, j}
  38 [2]: (000214) 1000010100 {c, e, j}
  39 [2]: (000224) 1000100100 {c, f, j}
  40 [2]: (000244) 1001000100 {c, g, j}
  41 [2]: (000284) 1010000100 {c, h, j}
  42 [2]: (000304) 1100000100 {c, i, j}
  43 [2]: (00001A) 0000011010 {b, d, e}
  44 [2]: (00002A) 0000101010 {b, d, f}
  45 [2]: (000032) 0000110010 {b, e, f}
  46 [2]: (00004A) 0001001010 {b, d, g}
  47 [2]: (000052) 0001010010 {b, e, g}
  48 [2]: (000062) 0001100010 {b, f, g}
  49 [2]: (00008A) 0010001010 {b, d, h}
  50 [2]: (000092) 0010010010 {b, e, h}
  51 [2]: (0000A2) 0010100010 {b, f, h}
  52 [2]: (0000C2) 0011000010 {b, g, h}
  53 [2]: (00010A) 0100001010 {b, d, i}
  54 [2]: (000112) 0100010010 {b, e, i}
  55 [2]: (000122) 0100100010 {b, f, i}
  56 [2]: (000142) 0101000010 {b, g, i}
  57 [2]: (000182) 0110000010 {b, h, i}
  58 [2]: (00020A) 1000001010 {b, d, j}
  59 [2]: (000212) 1000010010 {b, e, j}
  60 [2]: (000222) 1000100010 {b, f, j}
  61 [2]: (000242) 1001000010 {b, g, j}
  62 [2]: (000282) 1010000010 {b, h, j}
  63 [2]: (000302) 1100000010 {b, i, j}
  64 [2]: (000019) 0000011001 {a, d, e}
  65 [2]: (000029) 0000101001 {a, d, f}
  66 [2]: (000031) 0000110001 {a, e, f}
  67 [2]: (000049) 0001001001 {a, d, g}
  68 [2]: (000051) 0001010001 {a, e, g}
  69 [2]: (000061) 0001100001 {a, f, g}
  70 [2]: (000089) 0010001001 {a, d, h}
  71 [2]: (000091) 0010010001 {a, e, h}
  72 [2]: (0000A1) 0010100001 {a, f, h}
  73 [2]: (0000C1) 0011000001 {a, g, h}
  74 [2]: (000109) 0100001001 {a, d, i}
  75 [2]: (000111) 0100010001 {a, e, i}
  76 [2]: (000121) 0100100001 {a, f, i}
  77 [2]: (000141) 0101000001 {a, g, i}
  78 [2]: (000181) 0110000001 {a, h, i}
  79 [2]: (000209) 1000001001 {a, d, j}
  80 [2]: (000211) 1000010001 {a, e, j}
  81 [2]: (000221) 1000100001 {a, f, j}
  82 [2]: (000241) 1001000001 {a, g, j}
  83 [2]: (000281) 1010000001 {a, h, j}
  84 [2]: (000301) 1100000001 {a, i, j}

=== d = 3 ===
  85 [3]: (000038) 0000111000 {d, e, f}
  86 [3]: (000058) 0001011000 {d, e, g}
  87 [3]: (000068) 0001101000 {d, f, g}
  88 [3]: (000070) 0001110000 {e, f, g}
  89 [3]: (000098) 0010011000 {d, e, h}
  90 [3]: (0000A8) 0010101000 {d, f, h}
  91 [3]: (0000B0) 0010110000 {e, f, h}
  92 [3]: (0000C8) 0011001000 {d, g, h}
  93 [3]: (0000D0) 0011010000 {e, g, h}
  94 [3]: (0000E0) 0011100000 {f, g, h}
  95 [3]: (000118) 0100011000 {d, e, i}
  96 [3]: (000128) 0100101000 {d, f, i}
  97 [3]: (000130) 0100110000 {e, f, i}
  98 [3]: (000148) 0101001000 {d, g, i}
  99 [3]: (000150) 0101010000 {e, g, i}
 100 [3]: (000160) 0101100000 {f, g, i}
 101 [3]: (000188) 0110001000 {d, h, i}
 102 [3]: (000190) 0110010000 {e, h, i}
 103 [3]: (0001A0) 0110100000 {f, h, i}
 104 [3]: (0001C0) 0111000000 {g, h, i}
 105 [3]: (000218) 1000011000 {d, e, j}
 106 [3]: (000228) 1000101000 {d, f, j}
 107 [3]: (000230) 1000110000 {e, f, j}
 108 [3]: (000248) 1001001000 {d, g, j}
 109 [3]: (000250) 1001010000 {e, g, j}
 110 [3]: (000260) 1001100000 {f, g, j}
 111 [3]: (000288) 1010001000 {d, h, j}
 112 [3]: (000290) 1010010000 {e, h, j}
 113 [3]: (0002A0) 1010100000 {f, h, j}
 114 [3]: (0002C0) 1011000000 {g, h, j}
 115 [3]: (000308) 1100001000 {d, i, j}
 116 [3]: (000310) 1100010000 {e, i, j}
 117 [3]: (000320) 1100100000 {f, i, j}
 118 [3]: (000340) 1101000000 {g, i, j}
 119 [3]: (000380) 1110000000 {h, i, j}

** Subset generati: 119

