** FASE 1: Generazione dei 6-subset a distanza casuale (5)
  59 [2]: (0004BA) 010010111010 {b, d, e, f, h, k}
  60 [2]: (00053A) 010100111010 {b, d, e, f, i, k}
  61 [2]: (00063A) 011000111010 {b, d, e, f, j, k}
  62 [2]: (00087A) 100001111010 {b, d, e, f, g, l}
  63 [2]: (0008BA) 100010111010 {b, d, e, f, h, l}
  64 [2]: (00093A) 100100111010 {b, d, e, f, i, l}
  65 [2]: (000A3A) 101000111010 {b, d, e, f, j, l}
  66 [2]: (000C3A) 110000111010 {b, d, e, f, k, l}
  67 [2]: (0000F9) 000011111001 {a, d, e, f, g, h}
  68 [2]: (000179) 000101111001 {a, d, e, f, g, i}
  69 [2]: (0001B9) 000110111001 {a, d, e, f, h, i}
  70 [2]: (000279) 001001111001 {a, d, e, f, g, j}
  71 [2]: (0002B9) 001010111001 {a, d, e, f, h, j}
  72 [2]: (000339) 001100111001 {a, d, e, f, i, j}
  73 [2]: (000479) 010001111001 {a, d, e, f, g, k}
  74 [2]: (0004B9) 010010111001 {a, d, e, f, h, k}
  75 [2]: (000539) 010100111001 {a, d, e, f, i, k}
  76 [2]: (000639) 011000111001 {a, d, e, f, j, k}
  77 [2]: (000879) 100001111001 {a, d, e, f, g, l}
  78 [2]: (0008B9) 100010111001 {a, d, e, f, h, l}
  79 [2]: (000939) 100100111001 {a, d, e, f, i, l}
  80 [2]: (000A39) 101000111001 {a, d, e, f, j, l}
  81 [2]: (000C39) 110000111001 {a, d, e, f, k, l}
  82 [2]: (0000F6) 000011110110 {b, c, e, f, g, h}
  83 [2]: (000176) 000101110110 {b, c, e, f, g, i}
  84 [2]: (0001B6) 000110110110 {b, c, e, f, h, i}
  85 [2]: (000276) 001001110110 {b, c, e, f, g, j}
  86 [2]: (0002B6) 001010110110 {b, c, e, f, h, j}
  87 [2]: (000336) 001100110110 {b, c, e, f, i, j}
  88 [2]: (000476) 010001110110 {b, c, e, f, g, k}
  89 [2]: (0004B6) 010010110110 {b, c, e, f, h, k}
  90 [2]: (000536) 010100110110 {b, c, e, f, i, k}
  91 [2]: (000636) 011000110110 {b, c, e, f, j, k}
  92 [2]: (000876) 100001110110 {b, c, e, f, g, l}
  93 [2]: (0008B6) 100010110110 {b, c, e, f, h, l}
  94 [2]: (000936) 100100110110 {b, c, e, f, i, l}
  95 [2]: (000A36) 101000110110 {b, c, e, f, j, l}
  96 [2]: (000C36) 110000110110 {b, c, e, f, k, l}
  97 [2]: (0000F5) 000011110101 {a, c, e, f, g, h}
  98 [2]: (000175) 000101110101 {a, c, e, f, g, i}
  99 [2]: (0001B5) 000110110101 {a, c, e, f, h, i}
 100 [2]: (000275) 001001110101 {a, c, e, f, g, j}
 101 [2]: (0002B5) 001010110101 {a, c, e, f, h, j}
 102 [2]: (000335) 001100110101 {a, c, e, f, i, j}
 103 [2]: (000475) 010001110101 {a, c, e, f, g, k}
 104 [2]: (0004B5) 010010110101 {a, c, e, f, h, k}
 105 [2]: (000535) 010100110101 {a, c, e, f, i, k}
 106 [2]: (000635) 011000110101 {a, c, e, f, j, k}
 107 [2]: (000875) 100001110101 {a, c, e, f, g, l}
 108 [2]: (0008B5) 100010110101 {a, c, e, f, h, l}
 109 [2]: (000935) 100100110101 {a, c, e, f, i, l}
 110 [2]: (000A35) 101000110101 {a, c, e, f, j, l}
 111 [2]: (000C35) 110000110101 {a, c, e, f, k, l}
 112 [2]: (0000F3) 000011110011 {a, b, e, f, g, h}
 113 [2]: (000173) 000101110011 {a, b, e, f, g, i}
 114 [2]: (0001B3) 000110110011 {a, b, e, f, h, i}
 115 [2]: (000273) 001001110011 {a, b, e, f, g, j}
 116 [2]: (0002B3) 001010110011 {a, b, e, f, h, j}
 117 [2]: (000333) 001100110011 {a, b, e, f, i, j}
 118 [2]: (000473) 010001110011 {a, b, e, f, g, k}
 119 [2]: (0004B3) 010010110011 {a, b, e, f, h, k}
 120 [2]: (000533) 010100110011 {a, b, e, f, i, k}
 121 [2]: (000633) 011000110011 {a, b, e, f, j, k}
 122 [2]: (000873) 100001110011 {a, b, e, f, g, l}
 123 [2]: (0008B3) 100010110011 {a, b, e, f, h, l}
 124 [2]: (000933) 100100110011 {a, b, e, f, i, l}
 125 [2]: (000A33) 101000110011 {a, b, e, f, j, l}
 126 [2]: (000C33) 110000110011 {a, b, e, f, k, l}
 127 [2]: (0000EE) 000011101110 {b, c, d, f, g, h}
 128 [2]: (00016E) 000101101110 {b, c, d, f, g, i}
 129 [2]: (0001AE) 000110101110 {b, c, d, f, h, i}
 130 [2]: (00026E) 001001101110 {b, c, d, f, g, j}
 131 [2]: (0002AE) 001010101110 {b, c, d, f, h, j}
 132 [2]: (00032E) 001100101110 {b, c, d, f, i, j}
 133 [2]: (00046E) 010001101110 {b, c, d, f, g, k}
 134 [2]: (0004AE) 010010101110 {b, c, d, f, h, k}
 135 [2]: (00052E) 010100101110 {b, c, d, f, i, k}
 136 [2]: (00062E) 011000101110 {b, c, d, f, j, k}
 137 [2]: (00086E) 100001101110 {b, c, d, f, g, l}
 138 [2]: (0008AE) 100010101110 {b, c, d, f, h, l}
 139 [2]: (00092E) 100100101110 {b, c, d, f, i, l}
 140 [2]: (000A2E) 101000101110 {b, c, d, f, j, l}
 141 [2]: (000C2E) 110000101110 {b, c, d, f, k, l}
 142 [2]: (0000ED) 000011101101 {a, c, d, f, g, h}
 143 [2]: (00016D) 000101101101 {a, c, d, f, g, i}
 144 [2]: (0001AD) 000110101101 {a, c, d, f, h, i}
 145 [2]: (00026D) 001001101101 {a, c, d, f, g, j}
 146 [2]: (0002AD) 001010101101 {a, c, d, f, h, j}
 147 [2]: (00032D) 001100101101 {a, c, d, f, i, j}
 148 [2]: (00046D) 010001101101 {a, c, d, f, g, k}
 149 [2]: (0004AD) 010010101101 {a, c, d, f, h, k}
 150 [2]: (00052D) 010100101101 {a, c, d, f, i, k}
 151 [2]: (00062D) 011000101101 {a, c, d, f, j, k}
 152 [2]: (00086D) 100001101101 {a, c, d, f, g, l}
 153 [2]: (0008AD) 100010101101 {a, c, d, f, h, l}
 154 [2]: (00092D) 100100101101 {a, c, d, f, i, l}
 155 [2]: (000A2D) 101000101101 {a, c, d, f, j, l}
 156 [2]: (000C2D) 110000101101 {a, c, d, f, k, l}
 157 [2]: (0000EB) 000011101011 {a, b, d, f, g, h}
 158 [2]: (00016B) 000101101011 {a, b, d, f, g, i}
 159 [2]: (0001AB) 000110101011 {a, b, d, f, h, i}
 160 [2]: (00026B) 001001101011 {a, b, d, f, g, j}
 161 [2]: (0002AB) 001010101011 {a, b, d, f, h, j}
 162 [2]: (00032B) 001100101011 {a, b, d, f, i, j}
 163 [2]: (00046B) 010001101011 {a, b, d, f, g, k}
 164 [2]: (0004AB) 010010101011 {a, b, d, f, h, k}
 165 [2]: (00052B) 010100101011 {a, b, d, f, i, k}
 166 [2]: (00062B) 011000101011 {a, b, d, f, j, k}
 167 [2]: (00086B) 100001101011 {a, b, d, f, g, l}
 168 [2]: (0008AB) 100010101011 {a, b, d, f, h, l}
 169 [2]: (00092B) 100100101011 {a, b, d, f, i, l}
 170 [2]: (000A2B) 101000101011 {a, b, d, f, j, l}
 171 [2]: (000C2B) 110000101011 {a, b, d, f, k, l}
 172 [2]: (0000E7) 000011100111 {a, b, c, f, g, h}
 173 [2]: (000167) 000101100111 {a, b, c, f, g, i}
 174 [2]: (0001A7) 000110100111 {a, b, c, f, h, i}
 175 [2]: (000267) 001001100111 {a, b, c, f, g, j}
 176 [2]: (0002A7) 001010100111 {a, b, c, f, h, j}
 177 [2]: (000327) 001100100111 {a, b, c, f, i, j}
 178 [2]: (000467) 010001100111 {a, b, c, f, g, k}
 179 [2]: (0004A7) 010010100111 {a, b, c, f, h, k}
 180 [2]: (000527) 010100100111 {a, b, c, f, i, k}
 181 [2]: (000627) 011000100111 {a, b, c, f, j, k}
 182 [2]: (000867) 100001100111 {a, b, c, f, g, l}
 183 [2]: (0008A7) 100010100111 {a, b, c, f, h, l}
 184 [2]: (000927) 100100100111 {a, b, c, f, i, l}
 185 [2]: (000A27) 101000100111 {a, b, c, f, j, l}
 186 [2]: (000C27) 110000100111 {a, b, c, f, k, l}
 187 [2]: (0000DE) 000011011110 {b, c, d, e, g, h}
 188 [2]: (00015E) 000101011110 {b, c, d, e, g, i}
 189 [2]: (00019E) 000110011110 {b, c, d, e, h, i}
 190 [2]: (00025E) 001001011110 {b, c, d, e, g, j}
 191 [2]: (00029E) 001010011110 {b, c, d, e, h, j}
 192 [2]: (00031E) 001100011110 {b, c, d, e, i, j}
 193 [2]: (00045E) 010001011110 {b, c, d, e, g, k}
 194 [2]: (00049E) 010010011110 {b, c, d, e, h, k}
 195 [2]: (00051E) 010100011110 {b, c, d, e, i, k}
 196 [2]: (00061E) 011000011110 {b, c, d, e, j, k}
 197 [2]: (00085E) 100001011110 {b, c, d, e, g, l}
 198 [2]: (00089E) 100010011110 {b, c, d, e, h, l}
 199 [2]: (00091E) 100100011110 {b, c, d, e, i, l}
 200 [2]: (000A1E) 101000011110 {b, c, d, e, j, l}
 201 [2]: (000C1E) 110000011110 {b, c, d, e, k, l}
 202 [2]: (0000DD) 000011011101 {a, c, d, e, g, h}
 203 [2]: (00015D) 000101011101 {a, c, d, e, g, i}
 204 [2]: (00019D) 000110011101 {a, c, d, e, h, i}
 205 [2]: (00025D) 001001011101 {a, c, d, e, g, j}
