a,b,c,73,876
0,12,25
1,13,26
2,14,27
3,15,28
4,16,29
5,17,30
6,18,31
7,19,32
8,20,33
9,21,34
10,22,35
11,23,36
12,24,37
13,25,38
14,26,39
15,27,40
16,28,41
17,29,42
18,30,43
19,31,44
20,32,45
21,33,46
22,34,47
23,35,48
24,36,49
25,37,50
26,38,51
27,39,52
28,40,53
29,41,54
30,42,55
31,43,56
32,44,57
33,45,58
34,46,59
35,47,60
36,48,61
37,49,62
38,50,63
39,51,64
40,52,65
41,53,66
42,54,67
43,55,68
44,56,69
45,57,70
46,58,71
47,59,72
48,60,0
49,61,1
50,62,2
51,63,3
52,64,4
53,65,5
54,66,6
55,67,7
56,68,8
57,69,9
58,70,10
59,71,11
60,72,12
61,0,13
62,1,14
63,2,15
64,3,16
65,4,17
66,5,18
67,6,19
68,7,20
69,8,21
70,9,22
71,10,23
72,11,24
0,1,18
1,2,19
2,3,20
3,4,21
4,5,22
5,6,23
6,7,24
7,8,25
8,9,26
9,10,27
10,11,28
11,12,29
12,13,30
13,14,31
14,15,32
15,16,33
16,17,34
17,18,35
18,19,36
19,20,37
20,21,38
21,22,39
22,23,40
23,24,41
24,25,42
25,26,43
26,27,44
27,28,45
28,29,46
29,30,47
30,31,48
31,32,49
32,33,50
33,34,51
34,35,52
35,36,53
36,37,54
37,38,55
38,39,56
39,40,57
40,41,58
41,42,59
42,43,60
43,44,61
44,45,62
45,46,63
46,47,64
47,48,65
48,49,66
49,50,67
50,51,68
51,52,69
52,53,70
53,54,71
54,55,72
55,56,0
56,57,1
57,58,2
58,59,3
59,60,4
60,61,5
61,62,6
62,63,7
63,64,8
64,65,9
65,66,10
66,67,11
67,68,12
68,69,13
69,70,14
70,71,15
71,72,16
72,0,17
0,2,34
1,3,35
2,4,36
3,5,37
4,6,38
5,7,39
6,8,40
7,9,41
8,10,42
9,11,43
10,12,44
11,13,45
12,14,46
13,15,47
14,16,48
15,17,49
16,18,50
17,19,51
18,20,52
19,21,53
20,22,54
21,23,55
22,24,56
23,25,57
24,26,58
25,27,59
26,28,60
27,29,61
28,30,62
29,31,63
30,32,64
31,33,65
32,34,66
33,35,67
34,36,68
35,37,69
36,38,70
37,39,71
38,40,72
39,41,0
40,42,1
41,43,2
42,44,3
43,45,4
44,46,5
45,47,6
46,48,7
47,49,8
48,50,9
49,51,10
50,52,11
51,53,12
52,54,13
53,55,14
54,56,15
55,57,16
56,58,17
57,59,18
58,60,19
59,61,20
60,62,21
61,63,22
62,64,23
63,65,24
64,66,25
65,67,26
66,68,27
67,69,28
68,70,29
69,71,30
70,72,31
71,0,32
72,1,33
0,3,26
1,4,27
2,5,28
3,6,29
4,7,30
5,8,31
6,9,32
7,10,33
8,11,34
9,12,35
10,13,36
11,14,37
12,15,38
13,16,39
14,17,40
15,18,41
16,19,42
17,20,43
18,21,44
19,22,45
20,23,46
21,24,47
22,25,48
23,26,49
24,27,50
25,28,51
26,29,52
27,30,53
28,31,54
29,32,55
30,33,56
31,34,57
32,35,58
33,36,59
34,37,60
35,38,61
36,39,62
37,40,63
38,41,64
39,42,65
40,43,66
41,44,67
42,45,68
43,46,69
44,47,70
45,48,71
46,49,72
47,50,0
48,51,1
49,52,2
50,53,3
51,54,4
52,55,5
53,56,6
54,57,7
55,58,8
56,59,9
57,60,10
58,61,11
59,62,12
60,63,13
61,64,14
62,65,15
63,66,16
64,67,17
65,68,18
66,69,19
67,70,20
68,71,21
69,72,22
70,0,23
71,1,24
72,2,25
0,4,20
1,5,21
2,6,22
3,7,23
4,8,24
5,9,25
6,10,26
7,11,27
8,12,28
9,13,29
10,14,30
11,15,31
12,16,32
13,17,33
14,18,34
15,19,35
16,20,36
17,21,37
