a,b,c,27,117
0,1,3
1,2,4
2,3,5
3,4,6
4,5,7
5,6,8
6,7,9
7,8,10
8,9,11
9,10,12
10,11,13
11,12,14
12,13,15
13,14,16
14,15,17
15,16,18
16,17,19
17,18,20
18,19,21
19,20,22
20,21,23
21,22,24
22,23,25
23,24,26
24,25,0
25,26,1
26,0,2
0,4,14
1,5,15
2,6,16
3,7,17
4,8,18
5,9,19
6,10,20
7,11,21
8,12,22
9,13,23
10,14,24
11,15,25
12,16,26
13,17,0
14,18,1
15,19,2
16,20,3
17,21,4
18,22,5
19,23,6
20,24,7
21,25,8
22,26,9
23,0,10
24,1,11
25,2,12
26,3,13
0,5,11
1,6,12
2,7,13
3,8,14
4,9,15
5,10,16
6,11,17
7,12,18
8,13,19
9,14,20
10,15,21
11,16,22
12,17,23
13,18,24
14,19,25
15,20,26
16,21,0
17,22,1
18,23,2
19,24,3
20,25,4
21,26,5
22,0,6
23,1,7
24,2,8
25,3,9
26,4,10
0,7,15
1,8,16
2,9,17
3,10,18
4,11,19
5,12,20
6,13,21
7,14,22
8,15,23
9,16,24
10,17,25
11,18,26
12,19,0
13,20,1
14,21,2
15,22,3
16,23,4
17,24,5
18,25,6
19,26,7
20,0,8
21,1,9
22,2,10
23,3,11
24,4,12
25,5,13
26,6,14
0,9,18
1,10,19
2,11,20
3,12,21
4,13,22
5,14,23
6,15,24
7,16,25
8,17,26
